S-NER, S-SCALAR, S-TAG, V-CAT, V-TAG, O-NER, O-SCALAR, O-TAG, LABEL
'O','0','NNS','Other','VBP','O','0','NN',
'O','0','NN','IS-A','VBZ','CRIMINAL_CHARGE','0','NN',
'MISC','0','NNP','containment','VBZ','O','0','NNS',
'O','0','NNP','containment','VBZ','O','0','NN',
'PERSON','0','NNP','Other','VBZ','O','0','NNS',
'O','1','NN','containment','VBZ','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'PERSON','0','NNP','Other','VBZ','O','0','NN',
'O','0','NNS','IS-A','VBP','O','1','NNS',
'TITLE','0','NN','Other','VBD','O','0','NN',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','NNS','possession','VBP','O','0','NNS',
'O','0','PRP','Other','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','O','0','NN',
'PERSON','0','NN','IS-A','VBP','O','0','NNS',
'PERSON','0','NNP','possession','VBD','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NNS',
'O','0','PRP','possession','VBP','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'O','0','NNS','IS-A','VBP','O','1','NNS',
'TITLE','0','NN','Other','VBZ','O','0','NNS',
'ORGANIZATION','0','NNP','containment','VBZ','O','0','NNS',
'O','0','PRP','Other','VBD','O','0','NN',
'PERSON','1','NNP','Other','VBZ','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'ORGANIZATION','0','NNP','containment','VBZ','O','0','NN',
'ORGANIZATION','0','NNP','IS-A','VBZ','O','0','NN',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','NNS','IS-A','VBP','O','0','NNS',
'PERSON','0','NNP','containment','null','O','0','NNS',
'O','0','NNPS','Other','IN','COUNTRY','0','NNP',
'O','0','NNS','Other','VBD','O','0','NN',
'O','0','NNS','IS-A','VBP','O','0','NNS',
'O','0','NN','Other','IN','O','0','NN',
'O','0','NNS','possession','VBP','O','0','NNS',
'TITLE','1','NN','containment','VBZ','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'O','0','NN','possession','VBD','O','0','NN',
'PERSON','0','NNP','Other','VBN','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NNS',
'PERSON','0','NNP','Other','VBZ','O','0','NN',
'TITLE','0','NN','Other','IN','O','0','NN',
'O','0','NNS','possession','VBP','O','0','NNS',
'O','0','PRP','Other','VBD','O','0','NNS',
'O','0','PRP','Other','VBD','O','0','NNS',
'O','0','NN','containment','VBZ','O','1','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'O','0','NNS','Other','VBP','O','1','NNS',
'O','0','NNS','possession','VBP','O','0','NNS',
'O','0','NNS','Other','IN','O','0','NNS',
'O','0','NN','Other','VBD','O','0','NN',
'TITLE','0','NN','Other','VBD','O','0','NN',
'O','0','NNP','IS-A','VBZ','O','0','NN',
'O','0','NNS','IS-A','VBP','O','0','NNS',
'O','0','NN','containment','VBZ','O','1','NN',
'O','0','NNS','Other','VBP','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'O','0','NNS','possession','VBP','O','0','NN',
'O','0','NNPS','IS-A','VBD','O','0','NN',
'TITLE','0','NN','containment','VBZ','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NNS',
'O','1','NNS','Other','VBP','O','1','NNS',
'O','0','NNS','Other','VBN','O','0','NNS',
'PERSON','0','NNP','Other','VBZ','O','0','NN',
'TITLE','0','JJ','Other','VBZ','O','0','NN',
'PERSON','0','NNP','Other','IN','ORGANIZATION','0','NNP',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','0','PRP','possession','VBD','O','1','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'O','0','PRP','IS-A','VBD','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'O','0','NNS','possession','VBD','O','0','NN',
'O','1','NN','Other','VBD','O','0','NN',
'TITLE','0','NN','Other','NNS','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'O','1','NN','Other','VBZ','O','1','NNS',
'TITLE','0','NN','possession','VBD','O','0','NN',
'O','0','PRP','Other','IN','COUNTRY','0','NNP',
'ORGANIZATION','0','NNP','containment','VBZ','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'TITLE','1','NN','containment','VBZ','O','0','NN',
'O','0','NN','Other','VBN','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','PRP','IS-A','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','TITLE','0','NN',
'O','0','NNS','Other','VBP','O','1','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','0','PRP','IS-A','VBD','O','1','NN',
'TITLE','0','NN','containment','VBZ','O','0','NNS',
'O','0','NN','Other','VBD','O','0','NN',
'O','0','NNP','containment','VBZ','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','TITLE','0','NN',
'PERSON','0','NNP','containment','VBZ','O','0','NNS',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBD','O','0','NN',
'TITLE','0','NN','Other','VBD','O','0','NN',
'TITLE','0','NN','possession','VBD','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','NATIONALITY','0','NN',
'O','0','PRP','possession','VBP','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','1','NNP','containment','VBZ','O','0','NN',
'O','0','NNP','IS-A','VBZ','O','0','NN',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'O','0','VB','IS-A','VBZ','O','0','NN',
'O','0','NNP','containment','VBZ','O','0','NN',
'PERSON','0','NNP','Other','VBZ','O','0','NNS',
