S-NER, S-SCALAR, S-TAG, V-CAT, V-TAG, O-NER, O-SCALAR, O-TAG, LABEL
'O','1','NNS','Other','VBD','O','0','NN',
'O','0','NN','Other','VBD','O','0','NN',
'O','0','PRP','Other','VBP','O','1','NN',
'O','1','NN','containment','VBZ','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'O','0','NN','IS-A','VBD','O','0','NN',
'O','0','PRP','Other','VBP','O','1','NNS',
'TITLE','1','NN','Other','VBZ','O','1','NNS',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','NNS','Other','VBP','O','0','NN',
'O','0','NNS','Other','VBP','O','0','NN',
'TITLE','0','NN','possession','VBD','O','0','NNS',
'TITLE','0','NN','Other','VBN','O','0','NNS',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'O','0','NNS','Other','VBP','O','0','NN',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'PERSON','0','NN','IS-A','VBZ','O','1','NN',
'O','0','JJ','containment','VBZ','O','0','NN',
'O','0','NNP','IS-A','VBZ','O','0','NN',
'O','0','PRP','IS-A','VBP','O','0','NN',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','NNS','Other','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','TITLE','0','NN',
'PERSON','0','NNP','IS-A','VBZ','O','0','NN',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NNS',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','NNP','Other','VBD','O','0','NNS',
'O','0','NN','possession','VBD','O','0','NN',
'O','0','PRP','Other','RB','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'TITLE','0','NN','IS-A','VBZ','O','0','JJ',
'O','0','NNS','Other','VBD','O','0','NN',
'O','0','PRP','Other','VBP','O','0','NN',
'O','0','NNP','IS-A','VBD','O','0','NN',
'TITLE','0','NN','containment','VBZ','O','0','NN',
'O','0','NN','Other','VBD','O','0','NNS',
'O','0','NNS','Other','VBP','O','0','NN',
'PERSON','0','NNP','IS-A','VBD','O','0','NN',
'TITLE','0','NN','Other','VBD','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NNS',
'O','0','NNS','possession','VBP','O','0','NNS',
'O','1','NN','Other','IN','STATE_OR_PROVINCE','0','NNP',
'O','0','VB','IS-A','VBD','O','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'O','1','NN','containment','VBZ','O','0','NNS',
'O','0','PRP','Other','VBP','O','1','NN',
'O','0','NNP','IS-A','VBZ','O','0','NN',
'PERSON','1','NNP','possession','VBD','O','0','NN',
'O','0','NNS','Other','VBP','O','0','NN',
'O','1','NN','Other','VBD','O','0','NN',
'TITLE','0','NN','possession','VBD','O','0','NN',
'O','0','NN','Other','VBZ','ORGANIZATION','0','NNP',
'O','0','NN','possession','VBD','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','O','0','NN',
'O','0','PRP','Other','VBP','O','1','NNS',
'O','0','NNS','Other','VBG','O','0','NNS',
'PERSON','0','NNP','containment','VBZ','O','0','NNS',
'TITLE','0','NN','Other','VBD','O','0','NN',
'TITLE','0','NN','containment','VBZ','O','0','NN',
'O','1','NN','possession','VBD','O','0','JJ',
'TITLE','0','NN','IS-A','VBD','O','0','NN',
'O','0','NN','possession','VBD','O','0','NN',
'O','0','NN','IS-A','VBZ','O','0','NN',
'O','0','NN','containment','VBZ','O','0','NN',
'MISC','0','NNPS','possession','VBD','O','0','NNS',
'PERSON','0','NNP','Other','VBD','O','0','NN',
'O','0','PRP','Other','VBD','O','0','NNS',
'O','0','NN','possession','VBD','O','0','NN',
'O','0','PRP','Other','VBP','O','0','NN',
'O','1','NNS','Other','VBD','O','0','NN',
'PERSON','0','NNP','IS-A','VBZ','TITLE','0','NN',
'TITLE','0','NN','Other','VBZ','O','0','NN',
'O','0','NNS','Other','VBP','O','0','NN',
